year_month,active_users,cumulative_enrolled,mau_rate_pct
2024-01,40,50,80.0
2024-02,109,145,75.2
2024-03,192,262,73.3
2024-04,288,372,77.4
2024-05,391,503,77.7
2024-06,478,616,77.6
2024-07,485,712,68.1
2024-08,574,822,69.8
2024-09,675,920,73.4
2024-10,782,1045,74.8
2024-11,833,1153,72.2
2024-12,825,1265,65.2
2025-01,1016,1357,74.9
2025-02,1049,1448,72.4
2025-03,1136,1549,73.3
2025-04,1196,1644,72.7
2025-05,1292,1762,73.3
2025-06,1326,1851,71.6
2025-07,1267,1923,65.9
2025-08,1326,1998,66.4
2025-09,1424,2069,68.8
2025-10,1514,2125,71.2
2025-11,1559,2177,71.6
2025-12,1437,2232,64.4
2026-01,1678,2280,73.6
2026-02,1589,2309,68.8
2026-03,1632,2351,69.4
2026-04,1617,2382,67.9
2026-05,1661,2401,69.2
2026-06,1653,2413,68.5
2026-07,1488,2416,61.6
2026-08,1512,2418,62.5
