year_month,panel_size,participating_patients,participation_rate_pct,chronic_participants
2024-01,332,40,12.0,7
2024-02,636,109,17.1,22
2024-03,960,192,20.0,46
2024-04,1269,288,22.7,64
2024-05,1551,391,25.2,80
2024-06,1797,478,26.6,94
2024-07,2054,485,23.6,93
2024-08,2293,574,25.0,118
2024-09,2529,675,26.7,118
2024-10,2770,782,28.2,143
2024-11,2981,833,27.9,163
2024-12,3196,825,25.8,161
2025-01,3375,1016,30.1,190
2025-02,3554,1049,29.5,197
2025-03,3754,1136,30.3,208
2025-04,3910,1196,30.6,230
2025-05,4070,1292,31.7,250
2025-06,4193,1326,31.6,268
2025-07,4319,1267,29.3,237
2025-08,4429,1326,29.9,257
2025-09,4536,1424,31.4,281
2025-10,4635,1514,32.7,281
2025-11,4717,1559,33.1,294
2025-12,4780,1437,30.1,288
2026-01,4852,1678,34.6,330
2026-02,4895,1589,32.5,308
2026-03,4936,1632,33.1,302
2026-04,4970,1617,32.5,312
2026-05,4991,1661,33.3,320
2026-06,4999,1653,33.1,311
2026-07,5000,1488,29.8,303
2026-08,5000,1512,30.2,290
