cohort_month,cohort_patients,months_since_signup,active_patients,retention_pct
2024-01,50,0,40,80.0
2024-01,50,1,39,78.0
2024-01,50,2,38,76.0
2024-01,50,3,41,82.0
2024-01,50,4,37,74.0
2024-01,50,5,35,70.0
2024-01,50,6,31,62.0
2024-01,50,7,37,74.0
2024-01,50,8,39,78.0
2024-01,50,9,38,76.0
2024-01,50,10,36,72.0
2024-01,50,11,37,74.0
2024-01,50,12,37,74.0
2024-02,95,0,70,73.7
2024-02,95,1,70,73.7
2024-02,95,2,70,73.7
2024-02,95,3,75,78.9
2024-02,95,4,74,77.9
2024-02,95,5,71,74.7
2024-02,95,6,66,69.5
2024-02,95,7,71,74.7
2024-02,95,8,68,71.6
2024-02,95,9,65,68.4
2024-02,95,10,72,75.8
2024-02,95,11,74,77.9
2024-02,95,12,74,77.9
2024-03,117,0,84,71.8
2024-03,117,1,96,82.1
2024-03,117,2,84,71.8
2024-03,117,3,95,81.2
2024-03,117,4,81,69.2
2024-03,117,5,80,68.4
2024-03,117,6,79,67.5
2024-03,117,7,89,76.1
2024-03,117,8,89,76.1
2024-03,117,9,78,66.7
2024-03,117,10,84,71.8
2024-03,117,11,82,70.1
2024-03,117,12,78,66.7
2024-04,110,0,81,73.6
2024-04,110,1,92,83.6
2024-04,110,2,85,77.3
2024-04,110,3,76,69.1
2024-04,110,4,73,66.4
2024-04,110,5,80,72.7
2024-04,110,6,85,77.3
2024-04,110,7,83,75.5
2024-04,110,8,70,63.6
2024-04,110,9,83,75.5
2024-04,110,10,71,64.5
2024-04,110,11,84,76.4
2024-04,110,12,77,70.0
2024-05,131,0,103,78.6
2024-05,131,1,103,78.6
2024-05,131,2,83,63.4
2024-05,131,3,89,67.9
2024-05,131,4,97,74.0
2024-05,131,5,94,71.8
2024-05,131,6,88,67.2
2024-05,131,7,79,60.3
2024-05,131,8,99,75.6
2024-05,131,9,94,71.8
2024-05,131,10,91,69.5
2024-05,131,11,92,70.2
2024-05,131,12,101,77.1
2024-06,113,0,86,76.1
2024-06,113,1,79,69.9
2024-06,113,2,86,76.1
2024-06,113,3,87,77.0
2024-06,113,4,87,77.0
2024-06,113,5,92,81.4
2024-06,113,6,76,67.3
2024-06,113,7,90,79.6
2024-06,113,8,88,77.9
2024-06,113,9,80,70.8
2024-06,113,10,83,73.5
2024-06,113,11,85,75.2
2024-06,113,12,82,72.6
2024-07,96,0,64,66.7
2024-07,96,1,71,74.0
2024-07,96,2,70,72.9
2024-07,96,3,70,72.9
2024-07,96,4,62,64.6
2024-07,96,5,55,57.3
2024-07,96,6,67,69.8
2024-07,96,7,65,67.7
2024-07,96,8,66,68.8
2024-07,96,9,68,70.8
2024-07,96,10,65,67.7
2024-07,96,11,69,71.9
2024-07,96,12,64,66.7
2024-08,110,0,72,65.5
2024-08,110,1,84,76.4
2024-08,110,2,78,70.9
2024-08,110,3,80,72.7
2024-08,110,4,69,62.7
2024-08,110,5,81,73.6
2024-08,110,6,79,71.8
2024-08,110,7,81,73.6
2024-08,110,8,75,68.2
2024-08,110,9,72,65.5
2024-08,110,10,80,72.7
2024-08,110,11,73,66.4
2024-08,110,12,73,66.4
2024-09,98,0,68,69.4
2024-09,98,1,72,73.5
2024-09,98,2,65,66.3
2024-09,98,3,62,63.3
2024-09,98,4,71,72.4
2024-09,98,5,61,62.2
2024-09,98,6,73,74.5
2024-09,98,7,72,73.5
2024-09,98,8,75,76.5
2024-09,98,9,72,73.5
2024-09,98,10,59,60.2
2024-09,98,11,67,68.4
2024-09,98,12,60,61.2
2024-10,125,0,101,80.8
2024-10,125,1,91,72.8
2024-10,125,2,81,64.8
2024-10,125,3,91,72.8
2024-10,125,4,88,70.4
2024-10,125,5,97,77.6
2024-10,125,6,88,70.4
2024-10,125,7,86,68.8
2024-10,125,8,98,78.4
2024-10,125,9,74,59.2
2024-10,125,10,87,69.6
2024-10,125,11,87,69.6
2024-10,125,12,90,72.0
2024-11,108,0,82,75.9
2024-11,108,1,68,63.0
2024-11,108,2,83,76.9
2024-11,108,3,80,74.1
2024-11,108,4,77,71.3
2024-11,108,5,75,69.4
2024-11,108,6,73,67.6
2024-11,108,7,72,66.7
2024-11,108,8,71,65.7
2024-11,108,9,64,59.3
2024-11,108,10,70,64.8
2024-11,108,11,76,70.4
2024-11,108,12,80,74.1
2024-12,112,0,78,69.6
2024-12,112,1,87,77.7
2024-12,112,2,77,68.8
2024-12,112,3,90,80.4
2024-12,112,4,86,76.8
2024-12,112,5,88,78.6
2024-12,112,6,82,73.2
2024-12,112,7,77,68.8
2024-12,112,8,74,66.1
2024-12,112,9,82,73.2
2024-12,112,10,84,75.0
2024-12,112,11,79,70.5
2024-12,112,12,76,67.9
2025-01,92,0,69,75.0
2025-01,92,1,74,80.4
2025-01,92,2,72,78.3
2025-01,92,3,73,79.3
2025-01,92,4,68,73.9
2025-01,92,5,68,73.9
2025-01,92,6,61,66.3
2025-01,92,7,71,77.2
2025-01,92,8,68,73.9
2025-01,92,9,71,77.2
2025-01,92,10,67,72.8
2025-01,92,11,58,63.0
2025-01,92,12,70,76.1
2025-02,91,0,75,82.4
2025-02,91,1,67,73.6
2025-02,91,2,70,76.9
2025-02,91,3,66,72.5
2025-02,91,4,61,67.0
2025-02,91,5,63,69.2
2025-02,91,6,56,61.5
2025-02,91,7,62,68.1
2025-02,91,8,71,78.0
2025-02,91,9,65,71.4
2025-02,91,10,59,64.8
2025-02,91,11,65,71.4
2025-02,91,12,65,71.4
2025-03,101,0,71,70.3
2025-03,101,1,80,79.2
2025-03,101,2,77,76.2
2025-03,101,3,76,75.2
2025-03,101,4,72,71.3
2025-03,101,5,67,66.3
2025-03,101,6,66,65.3
2025-03,101,7,71,70.3
2025-03,101,8,76,75.2
2025-03,101,9,64,63.4
2025-03,101,10,71,70.3
2025-03,101,11,67,66.3
2025-03,101,12,76,75.2
2025-04,95,0,71,74.7
2025-04,95,1,73,76.8
2025-04,95,2,72,75.8
2025-04,95,3,65,68.4
2025-04,95,4,64,67.4
2025-04,95,5,74,77.9
2025-04,95,6,74,77.9
2025-04,95,7,70,73.7
2025-04,95,8,61,64.2
2025-04,95,9,75,78.9
2025-04,95,10,62,65.3
2025-04,95,11,65,68.4
2025-04,95,12,62,65.3
2025-05,118,0,90,76.3
2025-05,118,1,88,74.6
2025-05,118,2,85,72.0
2025-05,118,3,78,66.1
2025-05,118,4,87,73.7
2025-05,118,5,86,72.9
2025-05,118,6,89,75.4
2025-05,118,7,81,68.6
2025-05,118,8,93,78.8
2025-05,118,9,81,68.6
2025-05,118,10,82,69.5
2025-05,118,11,83,70.3
2025-05,118,12,83,70.3
2025-06,89,0,59,66.3
2025-06,89,1,55,61.8
2025-06,89,2,56,62.9
2025-06,89,3,62,69.7
2025-06,89,4,69,77.5
2025-06,89,5,66,74.2
2025-06,89,6,51,57.3
2025-06,89,7,71,79.8
2025-06,89,8,58,65.2
2025-06,89,9,58,65.2
2025-06,89,10,64,71.9
2025-06,89,11,61,68.5
2025-06,89,12,60,67.4
2025-07,72,0,50,69.4
2025-07,72,1,55,76.4
2025-07,72,2,57,79.2
2025-07,72,3,52,72.2
2025-07,72,4,56,77.8
2025-07,72,5,47,65.3
2025-07,72,6,57,79.2
2025-07,72,7,57,79.2
2025-07,72,8,54,75.0
2025-07,72,9,52,72.2
2025-07,72,10,52,72.2
2025-07,72,11,44,61.1
2025-07,72,12,46,63.9
2025-08,75,0,54,72.0
2025-08,75,1,56,74.7
2025-08,75,2,57,76.0
2025-08,75,3,53,70.7
2025-08,75,4,47,62.7
2025-08,75,5,50,66.7
2025-08,75,6,57,76.0
2025-08,75,7,54,72.0
2025-08,75,8,55,73.3
2025-08,75,9,57,76.0
2025-08,75,10,52,69.3
2025-08,75,11,55,73.3
2025-08,75,12,45,60.0
2025-09,71,0,56,78.9
2025-09,71,1,54,76.1
2025-09,71,2,51,71.8
2025-09,71,3,51,71.8
2025-09,71,4,56,78.9
2025-09,71,5,54,76.1
2025-09,71,6,51,71.8
2025-09,71,7,60,84.5
2025-09,71,8,57,80.3
2025-09,71,9,58,81.7
2025-09,71,10,51,71.8
2025-09,71,11,43,60.6
2025-10,56,0,44,78.6
2025-10,56,1,45,80.4
2025-10,56,2,41,73.2
2025-10,56,3,47,83.9
2025-10,56,4,39,69.6
2025-10,56,5,42,75.0
2025-10,56,6,41,73.2
2025-10,56,7,45,80.4
2025-10,56,8,38,67.9
2025-10,56,9,39,69.6
2025-10,56,10,34,60.7
2025-11,52,0,42,80.8
2025-11,52,1,35,67.3
2025-11,52,2,44,84.6
2025-11,52,3,34,65.4
2025-11,52,4,41,78.8
2025-11,52,5,37,71.2
2025-11,52,6,36,69.2
2025-11,52,7,41,78.8
