year_month,department_name,total_encounters,in_person_visits,telehealth_visits,telehealth_adoption_pct,no_shows,no_show_rate_pct
2024-01,Behavioral Health,6,1,4,80.0,0,0.0
2024-01,Cardiology,9,2,2,50.0,0,0.0
2024-01,Endocrinology,9,8,1,11.1,0,0.0
2024-01,Oncology,5,2,0,0.0,0,0.0
2024-01,Pediatrics,9,5,3,37.5,1,20.0
2024-01,Primary Care,18,9,2,18.2,1,11.1
2024-02,Behavioral Health,20,9,8,47.1,0,0.0
2024-02,Cardiology,22,11,2,15.4,1,9.1
2024-02,Endocrinology,14,5,5,50.0,1,20.0
2024-02,Oncology,9,6,1,14.3,1,16.7
2024-02,Pediatrics,25,14,3,17.6,2,14.3
2024-02,Primary Care,45,25,9,26.5,2,8.0
2024-03,Behavioral Health,24,10,7,41.2,1,10.0
2024-03,Cardiology,43,25,10,28.6,3,12.0
2024-03,Endocrinology,27,11,8,42.1,2,18.2
2024-03,Oncology,16,10,3,23.1,2,20.0
2024-03,Pediatrics,38,15,14,48.3,0,0.0
2024-03,Primary Care,79,39,21,35.0,2,5.1
2024-04,Behavioral Health,40,19,5,20.8,2,10.5
2024-04,Cardiology,49,17,13,43.3,0,0.0
2024-04,Endocrinology,30,13,9,40.9,1,7.7
2024-04,Oncology,25,14,3,17.6,1,7.1
2024-04,Pediatrics,50,21,13,38.2,0,0.0
2024-04,Primary Care,109,51,22,30.1,9,17.6
2024-05,Behavioral Health,51,31,11,26.2,3,9.7
2024-05,Cardiology,76,31,16,34.0,7,22.6
2024-05,Endocrinology,50,18,15,45.5,2,11.1
2024-05,Oncology,41,22,9,29.0,2,9.1
2024-05,Pediatrics,73,34,18,34.6,0,0.0
2024-05,Primary Care,133,51,47,48.0,6,11.8
2024-06,Behavioral Health,77,45,13,22.4,6,13.3
2024-06,Cardiology,92,43,23,34.8,7,16.3
2024-06,Endocrinology,46,14,15,51.7,1,7.1
2024-06,Oncology,42,13,13,50.0,1,7.7
2024-06,Pediatrics,80,38,21,35.6,5,13.2
2024-06,Primary Care,180,83,49,37.1,8,9.6
2024-07,Behavioral Health,77,28,24,46.2,1,3.6
2024-07,Cardiology,95,42,21,33.3,3,7.1
2024-07,Endocrinology,60,25,16,39.0,0,0.0
2024-07,Oncology,44,20,11,35.5,3,15.0
2024-07,Pediatrics,110,54,20,27.0,8,14.8
2024-07,Primary Care,193,83,54,39.4,21,25.3
2024-08,Behavioral Health,111,47,35,42.7,5,10.6
2024-08,Cardiology,120,54,36,40.0,9,16.7
2024-08,Endocrinology,60,24,19,44.2,2,8.3
2024-08,Oncology,55,21,12,36.4,0,0.0
