year_month,responses,nps_score,avg_csat,nps_mom_change,csat_mom_change
2024-01,7,-100.0,3.37,,
2024-02,11,-100.0,3.85,0.0,0.48
2024-03,22,-90.9,3.8,9.1,-0.05
2024-04,32,-90.6,3.92,0.3,0.12
2024-05,43,-97.7,3.82,-7.1,-0.1
2024-06,69,-91.3,3.71,6.4,-0.11
2024-07,47,-89.4,3.89,1.9,0.18
2024-08,67,-88.1,3.84,1.3,-0.05
2024-09,75,-90.7,3.92,-2.6,0.08
2024-10,104,-80.8,3.87,9.9,-0.05
2024-11,95,-70.5,3.9,10.3,0.03
2024-12,98,-75.5,3.81,-5.0,-0.09
2025-01,145,-79.3,3.95,-3.8,0.14
2025-02,140,-81.4,3.93,-2.1,-0.02
2025-03,142,-75.4,3.93,6.0,0.0
2025-04,138,-74.6,3.97,0.8,0.04
2025-05,163,-65.0,3.9,9.6,-0.07
2025-06,150,-68.0,3.88,-3.0,-0.02
2025-07,157,-63.7,4.08,4.3,0.2
2025-08,162,-51.9,4.05,11.8,-0.03
2025-09,151,-59.6,4.04,-7.7,-0.01
2025-10,169,-60.9,4.01,-1.3,-0.03
2025-11,188,-49.5,4.05,11.4,0.04
2025-12,155,-35.5,4.13,14.0,0.08
2026-01,224,-45.5,4.06,-10.0,-0.07
2026-02,215,-36.7,4.17,8.8,0.11
2026-03,217,-34.1,4.09,2.6,-0.08
2026-04,209,-41.6,4.2,-7.5,0.11
2026-05,209,-25.8,4.15,15.8,-0.05
2026-06,218,-22.0,4.16,3.8,0.01
2026-07,161,-28.6,4.17,-6.6,0.01
2026-08,173,-30.6,4.19,-2.0,0.02
