year_month,active_users,portal_events,avg_session_sec,telehealth_visits,telehealth_adoption_pct,no_show_rate_pct,nps_score,avg_csat,campaign_touches,campaign_engaged
2024-01,40,200,195.0,12,30.8,7.4,-100.0,3.37,0,0
2024-02,109,496,189.0,28,28.6,10.0,-100.0,3.85,1957,721
2024-03,192,864,181.0,63,36.4,9.1,-90.9,3.8,984,373
2024-04,288,1220,175.0,65,32.5,9.6,-90.6,3.92,0,0
2024-05,391,1587,175.0,116,38.3,10.7,-97.7,3.82,0,0
2024-06,478,2005,185.0,134,36.2,11.9,-91.3,3.71,584,296
2024-07,485,1732,177.0,146,36.7,14.3,-89.4,3.89,19,9
2024-08,574,2252,182.0,194,39.2,11.0,-88.1,3.84,0,0
2024-09,675,2802,182.0,164,30.5,12.3,-90.7,3.92,910,296
2024-10,782,3190,179.0,218,35.9,11.1,-80.8,3.87,31,11
2024-11,833,3253,179.0,224,33.6,11.7,-70.5,3.9,0,0
2024-12,825,3037,175.0,227,34.1,8.9,-75.5,3.81,0,0
2025-01,1016,4612,178.0,274,35.2,10.5,-79.3,3.95,84,28
2025-02,1049,4382,177.0,258,33.2,9.4,-81.4,3.93,171,61
2025-03,1136,4649,181.0,281,30.7,11.2,-75.4,3.93,3,0
2025-04,1196,5062,177.0,325,34.4,8.9,-74.6,3.97,396,236
2025-05,1292,5442,180.0,375,36.1,9.5,-65.0,3.9,13,7
2025-06,1326,5476,179.0,358,34.2,8.6,-68.0,3.88,0,0
2025-07,1267,4898,179.0,420,34.8,10.4,-63.7,4.08,0,0
2025-08,1326,5000,176.0,457,35.6,11.5,-51.9,4.05,1753,830
2025-09,1424,5961,182.0,422,34.2,8.9,-59.6,4.04,57,24
2025-10,1514,6270,179.0,401,31.6,11.3,-60.9,4.01,0,0
2025-11,1559,6665,183.0,464,34.9,9.1,-49.5,4.05,205,119
2025-12,1437,5230,181.0,486,34.6,8.4,-35.5,4.13,3,0
2026-01,1678,7569,180.0,502,34.8,8.0,-45.5,4.06,0,0
2026-02,1589,6482,179.0,474,33.4,10.3,-36.7,4.17,0,0
2026-03,1632,6646,177.0,564,35.6,10.4,-34.1,4.09,2156,716
2026-04,1617,6684,179.0,568,35.0,8.3,-41.6,4.2,65,16
2026-05,1661,6904,177.0,611,35.0,8.1,-25.8,4.15,0,0
2026-06,1653,6909,180.0,547,32.9,9.8,-22.0,4.16,337,122
2026-07,1488,5738,180.0,561,34.0,10.7,-28.6,4.17,181,70
2026-08,1512,5770,179.0,139,35.5,10.3,-30.6,4.19,0,0
